PRODUCT,DRAW NUMBER,SEQUENCE NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,BONUS NUMBER
649,380,0,12/9/87,4,22,23,28,29,36,38
649,381,0,16/9/87,3,4,6,15,35,40,45
649,382,0,19/9/87,3,7,21,24,29,48,28
649,383,0,23/9/87,4,8,10,16,22,41,7
649,384,0,26/9/87,21,22,28,36,41,49,23
649,385,0,30/9/87,4,9,10,11,28,30,32
649,386,0,3/10/87,14,18,23,25,28,30,36
649,387,0,7/10/87,3,4,6,13,14,48,40
649,388,0,10/10/87,8,9,17,28,33,36,10
649,389,0,14/10/87,16,20,25,32,33,42,31
649,390,0,17/10/87,4,14,15,23,40,49,2
649,391,0,21/10/87,1,3,5,14,27,44,10
649,392,0,24/10/87,3,24,25,38,39,44,36
649,393,0,28/10/87,7,18,27,30,39,40,32
649,394,0,31/10/87,9,16,17,24,35,41,10
649,395,0,4/11/87,3,4,7,8,16,34,26
649,396,0,7/11/87,6,16,26,30,32,43,19
649,397,0,11/11/87,10,17,18,37,39,43,2
649,398,0,14/11/87,1,13,19,32,33,38,47
649,399,0,18/11/87,18,36,40,43,45,49,33
649,400,0,21/11/87,1,7,11,12,29,39,16
649,401,0,25/11/87,13,26,33,45,46,49,10
649,402,0,28/11/87,4,8,9,24,43,47,17
649,403,0,2/12/87,15,22,30,35,37,49,26
649,404,0,5/12/87,1,5,25,30,31,48,23
649,405,0,9/12/87,20,29,33,39,41,48,7
649,406,0,12/12/87,2,9,11,31,37,40,41
649,407,0,16/12/87,12,25,37,41,42,48,1
649,408,0,19/12/87,12,13,18,22,32,33,19
649,409,0,23/12/87,16,29,30,39,43,44,31
649,410,0,26/12/87,1,17,26,37,39,49,46
649,411,0,30/12/87,1,13,17,18,45,48,49
649,412,0,2/1/88,17,20,31,38,39,49,34
649,413,0,6/1/88,8,13,22,23,26,47,42
649,414,0,9/1/88,16,17,23,28,32,45,34
649,415,0,13/1/88,7,19,29,38,43,45,37
649,416,0,16/1/88,8,27,29,36,37,39,47
649,417,0,20/1/88,3,8,12,23,30,43,31
649,418,0,23/1/88,3,12,19,35,47,49,22
649,419,0,27/1/88,2,4,23,36,44,49,22
649,420,0,30/1/88,5,18,21,25,44,47,10
649,421,0,3/2/88,5,29,30,33,41,49,1
649,422,0,6/2/88,4,7,8,12,42,43,49
649,423,0,10/2/88,8,18,33,37,40,42,44
649,424,0,13/2/88,10,11,12,24,25,36,9
649,425,0,17/2/88,5,14,23,27,36,37,28
649,426,0,20/2/88,10,18,27,28,42,48,17
649,427,0,24/2/88,7,10,15,20,27,29,30
649,428,0,27/2/88,3,4,16,18,25,43,47
649,429,0,2/3/88,8,10,26,34,42,44,33
649,430,0,5/3/88,11,13,14,24,40,48,45
649,431,0,9/3/88,4,10,18,19,37,40,41
649,432,0,12/3/88,1,26,36,42,44,46,20
649,433,0,16/3/88,1,16,19,35,39,40,11
649,434,0,19/3/88,10,28,31,34,39,47,49
649,435,0,23/3/88,3,8,29,31,43,48,11
649,436,0,26/3/88,27,30,31,33,38,42,28
649,437,0,30/3/88,9,12,19,35,36,44,48
649,438,0,2/4/88,6,10,21,30,36,49,40
649,439,0,6/4/88,10,19,24,31,39,47,32
649,440,0,9/4/88,6,12,18,24,32,35,22
649,441,0,13/4/88,9,17,19,28,40,46,15
649,442,0,16/4/88,18,21,30,39,40,49,15
649,443,0,20/4/88,1,2,7,11,34,43,5
649,444,0,23/4/88,5,14,18,24,42,49,6
649,445,0,27/4/88,17,33,38,39,46,49,1
649,446,0,30/4/88,1,12,20,23,31,49,11
649,447,0,4/5/88,2,5,9,23,38,43,3
649,448,0,7/5/88,1,14,27,37,39,42,30
649,449,0,11/5/88,12,14,17,21,23,29,3
649,450,0,14/5/88,2,6,20,34,39,44,37
649,451,0,18/5/88,4,5,6,13,24,31,44
649,452,0,21/5/88,3,7,15,19,31,34,43
649,453,0,25/5/88,2,13,28,40,41,43,36
649,454,0,28/5/88,2,5,28,31,42,45,9
649,455,0,1/6/88,2,20,24,34,43,49,41
649,456,0,4/6/88,15,19,28,32,35,42,45
649,457,0,8/6/88,2,6,22,27,34,37,12
649,458,0,11/6/88,3,8,16,22,27,44,23
649,459,0,15/6/88,5,9,15,21,27,47,4
649,460,0,18/6/88,3,5,14,30,35,40,32
649,461,0,22/6/88,2,18,24,25,27,30,46
649,462,0,25/6/88,8,22,28,31,32,38,39
649,463,0,29/6/88,6,10,26,39,41,47,8
649,464,0,2/7/88,26,32,33,35,38,44,12
649,465,0,6/7/88,6,13,19,22,25,27,16
649,466,0,9/7/88,8,10,25,31,43,47,41
649,467,0,13/7/88,8,9,15,22,25,31,7
649,468,0,16/7/88,1,8,13,28,31,44,39
649,469,0,20/7/88,9,13,19,23,34,40,1
649,470,0,23/7/88,12,14,20,33,38,43,18
649,471,0,27/7/88,1,4,31,33,36,39,32
649,472,0,30/7/88,2,7,10,14,23,42,17
649,473,0,3/8/88,1,3,20,22,30,44,33
649,474,0,6/8/88,5,28,29,32,43,45,20
649,475,0,10/8/88,7,15,17,29,40,47,36
649,476,0,13/8/88,11,24,35,45,46,48,40
649,477,0,17/8/88,5,32,34,40,45,47,15
649,478,0,20/8/88,6,19,33,35,43,44,34
649,479,0,24/8/88,5,8,16,32,34,43,6
649,480,0,27/8/88,17,20,23,27,36,47,37
649,481,0,31/8/88,6,31,34,37,39,48,15
649,482,0,3/9/88,6,20,22,27,32,41,37
649,483,0,7/9/88,2,5,13,23,35,45,48
649,484,0,10/9/88,4,16,17,18,22,44,41
649,485,0,14/9/88,10,27,30,33,36,48,9
649,486,0,17/9/88,2,4,15,24,28,41,34
649,487,0,21/9/88,8,9,10,18,30,39,22
649,488,0,24/9/88,3,7,18,21,41,44,32
649,489,0,28/9/88,2,4,6,11,42,44,26
649,490,0,1/10/88,6,20,35,42,47,49,38
649,491,0,5/10/88,3,12,14,29,31,33,23
649,492,0,8/10/88,7,23,27,29,44,49,18
649,493,0,12/10/88,1,7,9,21,46,47,36
649,494,0,15/10/88,2,13,27,29,35,38,44
649,495,0,19/10/88,8,12,16,20,21,44,49
649,496,0,22/10/88,2,3,8,24,32,48,28
649,497,0,26/10/88,13,16,17,19,35,45,3
649,498,0,29/10/88,1,24,32,36,48,49,47
649,499,0,2/11/88,3,7,23,28,31,49,9
649,500,0,5/11/88,16,31,40,42,45,49,21
649,501,0,9/11/88,4,6,15,32,34,35,8
649,502,0,12/11/88,13,15,24,28,41,46,21
649,503,0,16/11/88,1,18,19,31,45,49,41
649,504,0,19/11/88,4,5,24,25,36,39,47
649,505,0,23/11/88,22,33,38,39,44,49,43
649,506,0,26/11/88,2,18,23,35,37,42,1
649,507,0,30/11/88,4,20,33,47,48,49,45
649,508,0,3/12/88,1,14,15,30,37,49,19
649,509,0,7/12/88,4,17,22,28,30,47,46
